feature,coefficient
MonthlyCharges,0.8331204994400874
tenure,-0.8229984678332204
Contract_encoded,-0.6166325802139734
PhoneService_encoded,-0.2812076705464221
OnlineSecurity_encoded,-0.23728250582258306
TechSupport_encoded,-0.21852386501101384
PaperlessBilling_encoded,0.18953075044244017
InternetService_encoded,0.18852292921136388
OnlineBackup_encoded,-0.12017767705200322
Dependents_encoded,-0.11450908029008498
TotalCharges_encoded,0.10977758920728133
MultipleLines_encoded,0.10296713784474631
PaymentMethod_encoded,0.09814710585128117
customerID_encoded,-0.0672292550992244
DeviceProtection_encoded,-0.06510564236884106
SeniorCitizen,0.06232226281744789
Partner_encoded,0.01959758414860295
StreamingTV_encoded,0.013225408707499648
StreamingMovies_encoded,0.01027276385317748
gender_encoded,0.007356701947081271
